symbol,date,open,high,low,close,volume,open_interest
ESU08,01/16/2008,1496.0,1496.0,1496.0,1496.0,3224483,2222058
ESU08,01/15/2008,1508.25,1508.25,1508.25,1508.25,2439706,2139689
ESU08,01/14/2008,1540.75,1540.75,1540.75,1540.75,1457262,2059649
ESU08,01/11/2008,1528.5,1528.5,1528.5,1528.5,2192693,2039950
ESU08,01/10/2008,1543.0,1543.0,1543.0,1543.0,2742660,2020473
ESU08,01/09/2008,1534.0,1534.0,1534.0,1534.0,2815570,2005216
ESU08,01/08/2008,1519.5,1519.5,1519.5,1519.5,2903799,1993318
ESU08,01/07/2008,1544.5,1544.5,1544.5,1544.5,2441751,1897952
ESU08,01/04/2008,1545.75,1573.0,1545.75,1545.75,2202272,1892926
ESU08,01/03/2008,1582.75,1590.0,1582.75,1582.75,1267849,1768115
ESU08,01/02/2008,1583.25,1583.25,1583.25,1583.25,1626737,1772271
ESU08,12/31/2007,1603.5,1603.5,1603.5,1603.5,672421,1725693
ESU08,12/28/2007,1612.0,1612.0,1612.0,1612.0,795008,1756840
ESU08,12/27/2007,1616.5,1616.5,1616.5,1616.5,902859,1758619
ESU08,12/26/2007,1636.5,1636.5,1636.5,1636.5,365809,1746379
ESU08,12/24/2007,1633.5,1633.5,1633.5,1633.5,253987,1747149
ESU08,12/21/2007,1624.75,1624.75,1610.5,1624.75,1195581,1756258
ESU08,12/20/2007,1601.5,1601.5,1601.5,1601.5,1606679,1757437
ESU08,12/19/2007,1592.0,1592.0,1592.0,1592.0,2407451,2835417
ESU08,12/18/2007,1594.0,1594.0,1594.0,1594.0,2693695,2757509
ESU08,12/17/2007,1584.25,1584.25,1584.25,1584.25,2389318,2647947
ESU08,12/14/2007,1606.25,1606.25,1606.25,1606.25,2156106,2491091
ESU08,12/13/2007,1620.0,1632.0,1620.0,1625.0,2820348,2512021
ESU08,12/12/2007,1627.0,1627.0,1627.0,1627.0,3292255,2340040
ESU08,12/11/2007,1615.5,1615.5,1615.5,1615.5,2557249,2343093
ESU08,12/10/2007,1657.0,1657.0,1657.0,1657.0,1252051,2283862
ESU08,12/07/2007,1645.0,1645.0,1645.0,1645.0,1359579,2234668
ESU08,12/06/2007,1644.5,1644.5,1644.5,1644.5,1757222,2217554
ESU08,12/05/2007,1622.75,1622.75,1622.75,1622.75,1762221,2182253
